".scenario.id",".at","prevpos.retest.start","second.genps.start","part.index.prob","part.ppindex.prob","scenarioid_1","scenarioid_2","scenarioid_3","scenarioid_4","part.ident.main.prob","part.ident.casl.prob","part.ident.ooff.prob","part.hiv.test.rate_1","part.hiv.test.rate_2","part.hiv.test.rate_3","part.prep.start.prob_1","part.prep.start.prob_2","part.prep.start.prob_3","part.tx.init.rate_1","part.tx.init.rate_2","part.tx.init.rate_3","part.tx.reinit.rate_1","part.tx.reinit.rate_2","part.tx.reinit.rate_3"
"c028_0.3_0.05_base",0,Inf,3901,0.3,0.05,"028","0.3","0.05","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c029_0.35_0.05_base",0,Inf,3901,0.35,0.05,"029","0.35","0.05","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c030_0.4_0.05_base",0,Inf,3901,0.4,0.05,"030","0.4","0.05","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c031_0.45_0.05_base",0,Inf,3901,0.45,0.05,"031","0.45","0.05","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c032_0.5_0.05_base",0,Inf,3901,0.5,0.05,"032","0.5","0.05","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c033_0.55_0.05_base",0,Inf,3901,0.55,0.05,"033","0.55","0.05","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c034_0.6_0.05_base",0,Inf,3901,0.6,0.05,"034","0.6","0.05","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c035_0.65_0.05_base",0,Inf,3901,0.65,0.05,"035","0.65","0.05","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c036_0.7_0.05_base",0,Inf,3901,0.7,0.05,"036","0.7","0.05","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c037_0.75_0.05_base",0,Inf,3901,0.75,0.05,"037","0.75","0.05","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c038_0.8_0.05_base",0,Inf,3901,0.8,0.05,"038","0.8","0.05","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c039_0.85_0.05_base",0,Inf,3901,0.85,0.05,"039","0.85","0.05","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c040_0.9_0.05_base",0,Inf,3901,0.9,0.05,"040","0.9","0.05","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c041_0.95_0.05_base",0,Inf,3901,0.95,0.05,"041","0.95","0.05","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c042_1_0.05_base",0,Inf,3901,1,0.05,"042","1","0.05","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c043_0_0.1_base",0,Inf,3901,0,0.1,"043","0","0.1","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c044_0.05_0.1_base",0,Inf,3901,0.05,0.1,"044","0.05","0.1","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c045_0.1_0.1_base",0,Inf,3901,0.1,0.1,"045","0.1","0.1","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c046_0.15_0.1_base",0,Inf,3901,0.15,0.1,"046","0.15","0.1","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c047_0.2_0.1_base",0,Inf,3901,0.2,0.1,"047","0.2","0.1","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c048_0.25_0.1_base",0,Inf,3901,0.25,0.1,"048","0.25","0.1","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c049_0.3_0.1_base",0,Inf,3901,0.3,0.1,"049","0.3","0.1","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c050_0.35_0.1_base",0,Inf,3901,0.35,0.1,"050","0.35","0.1","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c051_0.4_0.1_base",0,Inf,3901,0.4,0.1,"051","0.4","0.1","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c052_0.45_0.1_base",0,Inf,3901,0.45,0.1,"052","0.45","0.1","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c053_0.5_0.1_base",0,Inf,3901,0.5,0.1,"053","0.5","0.1","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c054_0.55_0.1_base",0,Inf,3901,0.55,0.1,"054","0.55","0.1","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c055_0.6_0.1_base",0,Inf,3901,0.6,0.1,"055","0.6","0.1","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c056_0.65_0.1_base",0,Inf,3901,0.65,0.1,"056","0.65","0.1","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c057_0.7_0.1_base",0,Inf,3901,0.7,0.1,"057","0.7","0.1","base",0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
