.scenario.id,.at,prevpos.retest.start,second.genps.start,part.index.prob,part.ppindex.prob,part.ident.main.prob,part.ident.casl.prob,part.ident.ooff.prob,part.hiv.test.rate_1,part.hiv.test.rate_2,part.hiv.test.rate_3,part.prep.start.prob_1,part.prep.start.prob_2,part.prep.start.prob_3,part.tx.init.rate_1,part.tx.init.rate_2,part.tx.init.rate_3,part.tx.reinit.rate_1,part.tx.reinit.rate_2,part.tx.reinit.rate_3
a001base,0,Inf,Inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
a002allindexandpartfnd,0,Inf,Inf,1,1,1,1,1,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
a003plusallfndpartscrnd,0,Inf,Inf,1,1,1,1,1,1,1,1,0,0,0,0.387,0.387,0.387,0,0,0
a004plusallfndpartstartprep,0,Inf,Inf,1,1,1,1,1,0.394,0.394,0.394,1,1,1,0.387,0.387,0.387,0,0,0
a005plusallfndpartintart,0,Inf,Inf,1,1,1,1,1,0.394,0.394,0.394,0,0,0,1,1,1,0,0,0
a006plusallfndpartreinitart,0,Inf,Inf,1,1,1,1,1,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,1,1,1
a007plusallfndpartinitandreinitart,0,Inf,Inf,1,1,1,1,1,0.394,0.394,0.394,0,0,0,1,1,1,1,1,1
a008plusallstepsatmax,0,Inf,Inf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b009basewithinterv1on,0,3901,Inf,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
b010allindexandpartfnd,0,3901,Inf,1,1,1,1,1,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
b011plusallfndpartscrnd,0,3901,Inf,1,1,1,1,1,1,1,1,0,0,0,0.387,0.387,0.387,0,0,0
b012plusallfndpartstartprep,0,3901,Inf,1,1,1,1,1,0.394,0.394,0.394,1,1,1,0.387,0.387,0.387,0,0,0
b013plusallfndpartintart,0,3901,Inf,1,1,1,1,1,0.394,0.394,0.394,0,0,0,1,1,1,0,0,0
b014plusallfndpartreinitart,0,3901,Inf,1,1,1,1,1,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,1,1,1
b015plusallfndpartinitandreinitart,0,3901,Inf,1,1,1,1,1,0.394,0.394,0.394,0,0,0,1,1,1,1,1,1
b016plusallstepsatmax,0,3901,Inf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
c017basewithinterv2on,0,Inf,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
c018allindexandpartfnd,0,Inf,3901,1,1,1,1,1,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
c019plusallfndpartscrnd,0,Inf,3901,1,1,1,1,1,1,1,1,0,0,0,0.387,0.387,0.387,0,0,0
c020plusallfndpartstartprep,0,Inf,3901,1,1,1,1,1,0.394,0.394,0.394,1,1,1,0.387,0.387,0.387,0,0,0
c021plusallfndpartintart,0,Inf,3901,1,1,1,1,1,0.394,0.394,0.394,0,0,0,1,1,1,0,0,0
c022plusallfndpartreinitart,0,Inf,3901,1,1,1,1,1,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,1,1,1
c023plusallfndpartinitandreinitart,0,Inf,3901,1,1,1,1,1,0.394,0.394,0.394,0,0,0,1,1,1,1,1,1
c024plusallstepsatmax,0,Inf,3901,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
d025basewithinterv1and2on,0,3901,3901,0.666,0.64,0.157,0.08518719,0.04448852,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
d026allindexandpartfnd,0,3901,3901,1,1,1,1,1,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
d027plusallfndpartscrnd,0,3901,3901,1,1,1,1,1,1,1,1,0,0,0,0.387,0.387,0.387,0,0,0
d028plusallfndpartstartprep,0,3901,3901,1,1,1,1,1,0.394,0.394,0.394,1,1,1,0.387,0.387,0.387,0,0,0
d029plusallfndpartintart,0,3901,3901,1,1,1,1,1,0.394,0.394,0.394,0,0,0,1,1,1,0,0,0
d030plusallfndpartreinitart,0,3901,3901,1,1,1,1,1,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,1,1,1
d031plusallfndpartinitandreinitart,0,3901,3901,1,1,1,1,1,0.394,0.394,0.394,0,0,0,1,1,1,1,1,1
d032plusallstepsatmax,0,3901,3901,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
