".scenario.id",".at","prevpos.retest.start","second.genps.start","part.index.prob","part.ppindex.prob","part.ident.main.prob","part.ident.casl.prob","part.ident.ooff.prob","part.hiv.test.rate_1","part.hiv.test.rate_2","part.hiv.test.rate_3","part.prep.start.prob_1","part.prep.start.prob_2","part.prep.start.prob_3","part.tx.init.rate_1","part.tx.init.rate_2","part.tx.init.rate_3","part.tx.reinit.rate_1","part.tx.reinit.rate_2","part.tx.reinit.rate_3"
"c001_0_0_base",3901,Inf,3901,0,0,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c002_0.071_0_base",3901,Inf,3901,0.071,0.071,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c003_0.143_0_base",3901,Inf,3901,0.143,0.143,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c004_0.214_0_base",3901,Inf,3901,0.214,0.214,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c005_0.286_0_base",3901,Inf,3901,0.286,0.286,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c006_0.357_0_base",3901,Inf,3901,0.357,0.357,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c007_0.429_0_base",3901,Inf,3901,0.429,0.429,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c008_0.5_0_base",3901,Inf,3901,0.5,0.5,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c009_0.571_0_base",3901,Inf,3901,0.571,0.571,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c010_0.643_0_base",3901,Inf,3901,0.643,0.643,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c011_0.714_0_base",3901,Inf,3901,0.714,0.714,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c012_0.786_0_base",3901,Inf,3901,0.786,0.786,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c013_0.857_0_base",3901,Inf,3901,0.857,0.857,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c014_0.929_0_base",3901,Inf,3901,0.929,0.929,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c015_1_0_base",3901,Inf,3901,1,1,0,0,0,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c016_0_0.071_base",3901,Inf,3901,0,0,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c017_0.071_0.071_base",3901,Inf,3901,0.071,0.071,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c018_0.143_0.071_base",3901,Inf,3901,0.143,0.143,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c019_0.214_0.071_base",3901,Inf,3901,0.214,0.214,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c020_0.286_0.071_base",3901,Inf,3901,0.286,0.286,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c021_0.357_0.071_base",3901,Inf,3901,0.357,0.357,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c022_0.429_0.071_base",3901,Inf,3901,0.429,0.429,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c023_0.5_0.071_base",3901,Inf,3901,0.5,0.5,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c024_0.571_0.071_base",3901,Inf,3901,0.571,0.571,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c025_0.643_0.071_base",3901,Inf,3901,0.643,0.643,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c026_0.714_0.071_base",3901,Inf,3901,0.714,0.714,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c027_0.786_0.071_base",3901,Inf,3901,0.786,0.786,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c028_0.857_0.071_base",3901,Inf,3901,0.857,0.857,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c029_0.929_0.071_base",3901,Inf,3901,0.929,0.929,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c030_1_0.071_base",3901,Inf,3901,1,1,0.071,0.071,0.071,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c031_0_0.143_base",3901,Inf,3901,0,0,0.143,0.143,0.143,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c032_0.071_0.143_base",3901,Inf,3901,0.071,0.071,0.143,0.143,0.143,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c033_0.143_0.143_base",3901,Inf,3901,0.143,0.143,0.143,0.143,0.143,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c034_0.214_0.143_base",3901,Inf,3901,0.214,0.214,0.143,0.143,0.143,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c035_0.286_0.143_base",3901,Inf,3901,0.286,0.286,0.143,0.143,0.143,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c036_0.357_0.143_base",3901,Inf,3901,0.357,0.357,0.143,0.143,0.143,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c037_0.429_0.143_base",3901,Inf,3901,0.429,0.429,0.143,0.143,0.143,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c038_0.5_0.143_base",3901,Inf,3901,0.5,0.5,0.143,0.143,0.143,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c039_0.571_0.143_base",3901,Inf,3901,0.571,0.571,0.143,0.143,0.143,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c040_0.643_0.143_base",3901,Inf,3901,0.643,0.643,0.143,0.143,0.143,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c041_0.714_0.143_base",3901,Inf,3901,0.714,0.714,0.143,0.143,0.143,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c042_0.786_0.143_base",3901,Inf,3901,0.786,0.786,0.143,0.143,0.143,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
"c043_0.857_0.143_base",3901,Inf,3901,0.857,0.857,0.143,0.143,0.143,0.394,0.394,0.394,0,0,0,0.387,0.387,0.387,0,0,0
